Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2019-12-07,Dcbn4eJV5a,dXqYJgUYO6,2nQyB2iNEg,Deadlift,7,65.77097186816776,fake_id_536
2019-09-11,nm5dbfCDH8,6REm9Tfqpa,6iFWGIuCIo,Dumbbell Row,12,27.215574566138386,fake_id_546
2020-02-16,LQtUIoS8EG,G1mxtZtEs5,0eSw6EDqhr,Back Squat,8,22.67964547178199,fake_id_553
2020-01-18,d07cepOsqi,h85ZOw37Wc,TRZNG0AjUE,Dumbbell Bench Press,9,20.41168092460379,fake_id_518
2020-03-16,H3g2yG4NMI,mvkMgAdecH,OYViCAHZjQ,Dumbbell Shoulder Press,10,9.071858188712795,fake_id_520
2019-09-18,COraG8C4yf,h85ZOw37Wc,zncRs5VIlD,Dumbbell Bench Press,6,31.75150366049478,fake_id_524
2019-11-05,81Uv7VlUn9,G1mxtZtEs5,9vVzSIpx8E,Back Squat,8,70.30690096252415,fake_id_547
2019-08-15,CPi59tIIE4,mnwUcsbS9T,610leOmmPG,Barbell Bench Press,4,83.91468824559335,fake_id_501
2020-04-08,ksDbhiKZ9q,h85ZOw37Wc,UMm22TEeiY,Dumbbell Bench Press,16,15.422158920811752,fake_id_520
2019-10-24,CaFKDQJnPe,G1mxtZtEs5,OrJqHGWNqJ,Back Squat,6,60.0,fake_id_529
2019-12-12,UhaDEfJnaP,mnwUcsbS9T,Xq6AKITNh9,Barbell Bench Press,4,79.37875915123695,fake_id_501
2019-12-16,fQnIf0c1zz,h85ZOw37Wc,55UwzqXw3S,Dumbbell Bench Press,5,45.35929094356398,fake_id_509
2019-09-22,X9DtCGlZ1R,dXqYJgUYO6,dkc8qGr17g,Deadlift,4,29.483539113316585,fake_id_520
2020-04-30,pxKxr54mgI,6REm9Tfqpa,CjlWyS8eCp,Dumbbell Row,5,8.618265279277155,fake_id_595
2019-10-08,gBJFCIkpK9,mnwUcsbS9T,gR6lrdOqKa,Barbell Bench Press,7,102.05840462301894,fake_id_512
2019-08-15,cNXFuE8REj,h85ZOw37Wc,L8hhfuaigM,Dumbbell Bench Press,5,24.947610018960187,fake_id_572
2020-04-04,dGQjXLOGjV,G1mxtZtEs5,6pXMiFfzgU,Back Squat,6,75.0,fake_id_596
2020-01-04,wFgYABna98,6REm9Tfqpa,o6hllnagcY,Dumbbell Row,9,9.071858188712795,fake_id_564
2020-05-16,0MinwzOXfs,mnwUcsbS9T,6r4UX5UEeH,Barbell Bench Press,10,15.87575183024739,fake_id_522
2019-11-19,dErruhg6hk,h85ZOw37Wc,Kc4ukqHG5W,Dumbbell Bench Press,8,3.628743275485118,fake_id_595
2020-07-06,k13KNo8F7b,h85ZOw37Wc,KgCaFUQZTv,Dumbbell Bench Press,10,31.75150366049478,fake_id_502
2019-09-12,8dgyiS2pgO,ZAIuKpHvue,ffcWXExisE,Dumbbell Lunge,5,10.0,fake_id_505
2019-08-16,qH0ezhfICl,h85ZOw37Wc,QbpWUstKCG,Dumbbell Bench Press,4,15.0,fake_id_505
2020-02-19,4MM1tRfI75,mnwUcsbS9T,759y6tzQKV,Barbell Bench Press,3,81.64672369841516,fake_id_562
2020-07-23,aArz56en6u,h85ZOw37Wc,R9FfvFDDTF,Dumbbell Bench Press,13,18.14371637742559,fake_id_538
2020-01-02,rQoAeOGBDw,mvkMgAdecH,fBN4gGBBPw,Dumbbell Shoulder Press,15,11.339822735890994,fake_id_600
2020-08-11,ub0Sl1pGdO,G1mxtZtEs5,jUNkFhgO4r,Back Squat,5,110.0,fake_id_596
2019-10-17,AmohwYVGYj,mnwUcsbS9T,DBePp0iflq,Barbell Bench Press,5,100.0,fake_id_596
2019-12-10,qlzV4W7kMD,G1mxtZtEs5,r85CCkWwx2,Back Squat,4,65.77097186816776,fake_id_533
2020-01-10,Sqm8LJPtH1,mvkMgAdecH,u3QtocLkxj,Dumbbell Shoulder Press,6,24.947610018960187,fake_id_524
2019-10-06,C54Eenloh3,bOhZg3HbGM,fNdgWEIJzI,Dumbbell Bent Over Row,4,15.87575183024739,fake_id_533
2019-12-20,HERmFDwkCs,G1mxtZtEs5,94ZNe1vDuO,Back Squat,8,70.30690096252415,fake_id_503
2020-06-20,194kEBUB0R,mnwUcsbS9T,XpebL7x7xQ,Barbell Bench Press,15,45.35929094356398,fake_id_583
2019-10-21,b1pBxjEbHd,mvkMgAdecH,03iLgmbSsn,Dumbbell Shoulder Press,25,13.607787283069193,fake_id_587
2019-10-03,UHcnIkmvv8,dXqYJgUYO6,ZdPiAvVrg0,Deadlift,6,56.69911367945497,fake_id_533
2019-10-17,gASGtB5Hml,mnwUcsbS9T,3CjGk7obuG,Barbell Bench Press,8,97.52247552866254,fake_id_516
